PST;Max TemperatureC;Mean TemperatureC;Min TemperatureC;Dew PointC;MeanDew PointC;Min DewpointC;Max Humidity; Mean Humidity; Min Humidity; Max Sea Level PressurehPa; Mean Sea Level PressurehPa; Min Sea Level PressurehPa; Max VisibilityKm; Mean VisibilityKm; Min VisibilitykM; Max Wind SpeedKm/h; Mean Wind SpeedKm/h; Max Gust SpeedKm/h;Precipitationmm; CloudCover; Events;WindDirDegrees
01/01/2003;11;9;6;10;8;6;100;90;80;1028;1025;1024;16;15;8;14;3;;0.00;3;;86
02/01/2003;12;10;8;9;8;7;100;88;77;1025;1024;1022;16;15;11;13;5;;0.00;5;;79
03/01/2003;13;10;8;9;8;7;97;84;67;1024;1022;1021;16;15;11;13;5;;0.00;4;;56
04/01/2003;14;11;9;12;10;8;100;91;78;1027;1025;1022;16;15;13;14;5;;0.00;4;Fog;295
05/01/2003;13;11;9;12;11;8;100;97;80;1026;1024;1019;16;6;0;13;5;;0.25;4;Fog;22
06/01/2003;19;14;11;8;5;2;83;55;33;1021;1020;1018;16;16;16;24;13;;0.00;0;;106
07/01/2003;18;12;7;9;7;2;97;74;42;1023;1020;1017;16;15;11;19;6;;0.00;0;;119
08/01/2003;13;10;7;10;8;5;96;87;75;1018;1016;1015;16;12;8;13;6;;0.00;3;;38
09/01/2003;12;11;10;12;11;9;100;96;89;1018;1016;1015;16;7;2;19;10;;22.61;7;Rain;34
10/01/2003;16;14;12;13;12;12;100;91;75;1020;1017;1015;16;14;8;26;14;34;5.08;7;Rain;138
11/01/2003;13;12;11;12;12;11;100;94;87;1022;1020;1019;16;16;13;14;6;;0.00;6;;101
12/01/2003;17;14;12;12;12;11;100;86;72;1026;1023;1021;16;15;13;26;13;29;2.29;6;Rain;139
13/01/2003;16;13;12;13;12;11;100;94;83;1026;1025;1024;16;15;13;13;5;;0.00;6;Rain;62
14/01/2003;14;12;11;12;12;11;100;94;84;1026;1024;1023;16;14;4;23;6;;0.00;6;;324
15/01/2003;16;13;9;12;11;8;100;87;69;1027;1025;1025;16;16;10;24;8;;0.00;1;;76
16/01/2003;16;12;8;11;8;6;90;80;64;1026;1024;1023;16;16;13;14;10;;0.00;0;;125
17/01/2003;15;11;6;11;8;4;93;84;67;1023;1021;1019;16;16;11;13;3;;0.00;1;;72
18/01/2003;13;10;8;11;9;8;100;91;83;1023;1022;1021;13;9;4;16;6;;0.00;1;;6
19/01/2003;11;9;8;9;8;7;100;91;83;1023;1022;1021;13;7;4;16;10;;0.25;3;;27
20/01/2003;11;9;8;9;8;7;100;95;87;1023;1022;1021;8;5;3;14;10;;1.27;7;Rain;73
21/01/2003;13;11;9;12;11;9;100;98;92;1023;1022;1021;11;5;1;21;8;;2.03;8;Rain;20
22/01/2003;17;14;11;14;13;11;100;93;75;1026;1024;1022;16;12;3;24;11;35;2.03;8;Rain;131
23/01/2003;15;14;13;14;13;12;100;97;90;1026;1025;1024;16;14;8;14;8;;0.76;6;;348
24/01/2003;14;13;12;12;12;11;100;93;83;1027;1025;1024;14;13;6;14;8;;0.00;7;;20
25/01/2003;17;14;12;13;12;12;97;89;78;1027;1026;1024;16;13;8;14;5;;0.00;5;;17
26/01/2003;16;13;12;12;11;-1;97;85;37;1026;1024;1022;16;13;10;13;6;;0.00;4;;42
27/01/2003;17;14;12;13;12;10;94;87;77;1021;1020;1019;16;13;8;37;8;;0.00;4;;257
28/01/2003;17;13;10;11;11;9;100;90;60;1023;1022;1020;16;10;0;21;5;;0.25;4;Fog;349
29/01/2003;16;12;9;12;10;7;100;88;67;1028;1026;1023;16;11;3;21;6;;0.00;5;;274
30/01/2003;15;13;11;12;11;10;100;91;72;1028;1026;1025;16;11;1;14;6;;0.00;5;;347
31/01/2003;16;12;9;12;11;8;100;90;78;1024;1021;1018;16;9;3;26;8;;0.25;4;;341
01/02/2003;14;12;10;12;9;5;96;81;65;1022;1019;1017;16;15;3;48;23;63;0.00;5;;276
02/02/2003;16;12;8;6;4;0;77;60;41;1023;1022;1021;16;16;16;27;14;;0.00;0;;298
03/02/2003;16;11;6;8;4;3;89;65;44;1023;1022;1021;16;16;16;23;6;;0.00;0;;358
04/02/2003;16;11;7;8;4;-2;97;62;34;1021;1019;1016;16;16;14;29;8;;0.00;0;;76
05/02/2003;15;11;8;5;-1;-7;73;45;21;1019;1018;1017;16;16;16;34;18;;0.00;0;;28
06/02/2003;14;9;4;3;1;-1;86;58;37;1019;1017;1015;16;16;16;27;10;;0.00;0;;90
07/02/2003;14;11;7;3;1;-3;71;49;40;1019;1017;1016;16;16;16;27;18;;0.00;0;;79
08/02/2003;14;8;3;6;1;-4;79;58;33;1021;1019;1018;16;16;16;19;6;;0.00;0;;246
09/02/2003;13;8;4;7;3;1;93;69;45;1024;1022;1021;16;16;16;21;6;;0.00;0;;267
10/02/2003;14;9;4;9;4;1;86;69;44;1022;1018;1013;16;15;14;13;5;;0.00;4;;85
11/02/2003;14;11;8;9;7;4;86;74;57;1014;1013;1012;16;13;10;10;5;;0.25;6;;91
12/02/2003;12;11;9;11;10;8;100;92;80;1012;1008;1006;16;8;2;16;8;;10.92;7;Rain;88
13/02/2003;16;13;12;13;11;9;100;91;72;1015;1010;1006;16;9;2;29;10;;6.10;7;Rain;304
14/02/2003;14;13;12;9;8;7;83;77;72;1019;1017;1015;16;16;16;29;21;34;0.00;7;;260
15/02/2003;14;12;10;11;9;7;93;83;67;1019;1015;1011;16;12;2;40;14;60;22.86;7;Rain;159
16/02/2003;14;11;8;10;8;7;97;82;62;1024;1021;1015;16;15;4;32;16;58;4.06;4;Rain;210
17/02/2003;14;11;7;9;7;5;97;80;57;1024;1023;1022;16;16;16;24;8;;0.00;4;;280
18/02/2003;15;11;6;9;8;4;89;80;62;1025;1024;1022;16;16;16;32;11;;0.00;1;;273
19/02/2003;13;11;9;9;7;5;96;78;62;1023;1021;1020;16;15;4;52;21;63;1.27;5;Rain;271
20/02/2003;16;11;6;9;7;4;89;74;59;1022;1021;1020;16;16;14;32;13;;0.00;1;;266
21/02/2003;17;12;8;11;9;6;94;84;63;1024;1022;1020;16;16;14;29;10;;0.00;2;;272
22/02/2003;18;13;8;11;9;7;93;83;61;1020;1017;1013;16;15;10;26;6;;0.00;2;;291
23/02/2003;16;12;8;11;9;7;93;83;68;1013;1010;1006;16;15;13;21;5;;0.00;3;;272
24/02/2003;14;12;11;11;9;8;93;84;75;1008;1006;1005;16;14;4;21;10;;10.92;7;Rain-Thunderstorm;294
25/02/2003;14;12;11;11;9;7;96;82;72;1012;1009;1008;16;16;13;32;11;;0.51;4;Rain;206
26/02/2003;12;11;9;8;7;5;93;76;64;1014;1012;1011;16;15;6;24;13;;5.08;8;Rain;230
27/02/2003;13;10;8;8;7;6;96;80;64;1017;1014;1011;16;16;14;32;11;40;0.25;3;Rain;284
28/02/2003;14;10;6;9;7;5;93;80;56;1019;1017;1016;16;16;13;26;11;;0.00;4;;254
01/03/2003;16;13;11;9;8;6;92;77;52;1019;1017;1016;16;16;16;29;18;;0.00;2;;291
02/03/2003;16;11;7;9;8;4;97;80;48;1022;1021;1019;16;15;10;29;11;;0.00;1;;220
03/03/2003;13;11;8;8;6;3;86;71;61;1020;1014;1010;16;16;13;29;13;;0.00;5;;250
04/03/2003;14;10;6;8;6;4;93;77;53;1014;1012;1010;16;16;14;32;10;;0.00;2;;246
05/03/2003;16;12;7;9;7;6;93;79;58;1020;1017;1015;16;16;16;21;8;;0.00;1;;245
06/03/2003;17;12;8;9;7;2;93;77;38;1020;1019;1017;16;15;13;37;13;45;0.00;1;;232
07/03/2003;14;11;9;8;7;4;86;72;53;1019;1017;1016;16;16;14;39;27;47;0.00;1;;262
08/03/2003;15;11;8;8;7;7;93;76;58;1023;1021;1019;16;16;16;35;16;;0.00;3;;250
09/03/2003;16;11;7;11;8;6;93;79;55;1024;1023;1022;16;16;14;29;10;;0.00;2;;271
10/03/2003;18;13;9;13;11;8;100;90;70;1023;1021;1020;16;14;10;34;11;;0.00;4;;273
11/03/2003;17;13;11;12;11;10;100;90;70;1020;1018;1016;16;14;3;37;16;;0.00;6;;271
12/03/2003;17;14;12;13;12;11;96;88;75;1017;1015;1013;16;16;14;27;11;;0.00;5;;301
13/03/2003;17;14;12;12;10;9;89;76;60;1013;1012;1008;16;16;8;45;23;63;0.00;6;Rain;161
14/03/2003;18;16;14;13;12;9;94;83;56;1013;1009;1003;16;15;10;47;31;60;10.16;7;Rain;155
15/03/2003;16;13;10;14;9;7;94;78;57;1008;1004;999;16;14;4;42;24;61;8.89;4;Rain;224
16/03/2003;14;12;10;11;9;6;94;82;62;1013;1009;1007;16;14;3;42;16;;2.79;5;Rain;224
17/03/2003;15;12;10;8;6;4;83;68;58;1022;1018;1014;16;16;16;60;27;76;0.00;1;;283
18/03/2003;16;12;8;8;7;4;83;70;49;1024;1022;1021;16;16;14;48;23;58;0.00;1;;268
19/03/2003;16;13;11;11;8;4;93;77;46;1022;1021;1020;16;16;11;29;23;40;2.03;5;Rain;245
20/03/2003;16;13;11;11;9;8;94;78;62;1025;1023;1021;16;16;14;35;23;42;0.00;4;;265
21/03/2003;16;12;9;10;8;6;88;76;58;1025;1024;1023;16;16;14;34;21;42;0.00;2;;266
22/03/2003;16;13;11;11;10;9;96;82;67;1023;1022;1021;16;15;11;26;13;32;0.00;6;;243
23/03/2003;14;12;11;11;8;7;94;79;62;1021;1019;1017;16;15;10;29;14;34;5.59;4;Rain;246
24/03/2003;15;12;9;8;8;7;86;76;62;1024;1021;1018;16;16;14;39;19;47;0.00;2;;261
25/03/2003;18;13;8;13;9;6;93;79;50;1027;1025;1024;16;16;14;27;11;;0.00;4;;271
26/03/2003;16;13;11;13;11;7;96;84;64;1026;1025;1023;16;14;4;52;14;50;0.25;5;;258
27/03/2003;16;12;8;8;6;4;77;64;46;1024;1023;1021;16;16;14;35;19;39;0.00;1;;278
28/03/2003;21;18;15;11;5;1;63;44;33;1024;1022;1021;16;16;16;37;21;;0.00;1;;357
29/03/2003;24;17;11;10;5;2;69;49;29;1028;1026;1024;16;16;16;24;6;;0.00;1;;295
30/03/2003;23;17;12;13;7;2;70;55;34;1028;1024;1021;16;16;16;27;10;;0.00;2;;284
31/03/2003;17;14;12;11;9;8;89;77;64;1021;1016;1012;16;16;14;35;16;45;0.00;6;;270
01/04/2003;14;12;9;10;7;4;86;73;58;1013;1012;1011;16;16;16;42;31;47;0.00;5;Rain;255
